date,postcount,likecount,commentcount
2012-03-11,14,24,22
2012-03-12,16,53,74
2012-03-13,16,19,61
2012-03-14,14,24,21
2012-03-15,21,50,37
2012-03-16,14,56,15
2012-03-17,11,21,36
2012-03-18,13,42,27
2012-03-19,3,4,0
2012-03-20,18,93,176
2012-03-21,10,10,30
2012-03-22,27,79,97
2012-03-23,19,47,72
2012-03-24,13,55,59
2012-03-25,12,14,22
2012-03-26,25,46,47
2012-03-27,15,22,16
2012-03-28,16,70,57
2012-03-29,20,61,110
2012-03-30,18,46,61
2012-03-31,17,42,47
2012-04-01,9,21,14
2012-04-02,24,51,38
2012-04-03,22,52,69
2012-04-04,24,87,204
2012-04-05,9,17,25
2012-04-06,20,63,46
2012-04-07,14,47,28
2012-04-08,18,65,208
2012-04-09,29,89,61
2012-04-10,26,61,40
2012-04-11,22,23,23
2012-04-12,14,36,41
2012-04-13,17,48,33
2012-04-14,7,25,8
2012-04-15,5,7,3
2012-04-16,26,35,69
2012-04-17,18,29,64
2012-04-18,18,25,39
2012-04-19,15,30,17
2012-04-20,17,25,25
2012-04-21,14,17,7
2012-04-22,14,15,3
2012-05-10,1,4,33
2012-05-14,1,14,38
2012-05-20,2,6,20
2012-05-24,1,13,174
2012-05-25,2,21,33
2012-05-26,7,16,23
2012-05-27,15,30,24
2012-05-28,13,42,47
2012-05-29,19,14,24
2012-05-30,23,48,88
2012-05-31,22,26,55
2012-06-01,17,54,110
2012-06-02,16,41,76
2012-06-03,11,8,68
2012-06-04,12,9,29
2012-06-05,24,45,112
2012-06-06,14,46,55
2012-06-07,19,20,58
2012-06-08,11,18,23
2012-06-09,5,13,1
2012-06-10,4,30,50
2012-06-11,11,21,36
2012-06-12,16,54,53
2012-06-13,15,31,25
2012-06-14,17,52,64
2012-06-15,11,24,13
2012-06-16,9,16,7
2012-06-17,8,26,84
2012-06-18,15,35,23
2012-06-19,6,24,47
2012-06-20,13,49,72
2012-06-21,19,46,48
2012-06-22,9,26,68
2012-06-23,7,28,116
2012-06-24,8,13,24
2012-06-25,18,52,134
